0.015000 -0.005000 -0.035000,0.225000 -0.075000 -0.525000,0.435000 -0.145000 -1.015000,0.645000 -0.215000 -1.505000,0.855000 -0.285000 -1.995000,1.065000 -0.355000 -2.485000,1.275000 -0.425000 -2.975000,1.485000 -0.495000 -3.465000,1.695000 -0.565000 -3.955000,1.965000 -0.655000 -4.585000,
0.015000 -0.005000 -0.025000,0.270000 -0.090000 -0.450000,0.525000 -0.175000 -0.875000,0.780000 -0.260000 -1.300000,1.035000 -0.345000 -1.725000,1.290000 -0.430000 -2.150000,1.545000 -0.515000 -2.575000,1.800000 -0.600000 -3.000000,2.055000 -0.685000 -3.425000,2.550000 -0.850000 -4.250000,
0.015000 -0.005000 -0.015000,0.360000 -0.120000 -0.360000,0.705000 -0.235000 -0.705000,1.050000 -0.350000 -1.050000,1.395000 -0.465000 -1.395000,1.740000 -0.580000 -1.740000,2.085000 -0.695000 -2.085000,2.430000 -0.810000 -2.430000,2.775000 -0.925000 -2.775000,3.450000 -1.150000 -3.450000,
0.015000 -0.005000 -0.005000,0.480000 -0.160000 -0.160000,0.945000 -0.315000 -0.315000,1.410000 -0.470000 -0.470000,1.875000 -0.625000 -0.625000,2.340000 -0.780000 -0.780000,2.805000 -0.935000 -0.935000,3.270000 -1.090000 -1.090000,3.735000 -1.245000 -1.245000,4.530000 -1.510000 -1.510000,
0.015000 -0.005000 0.005000,0.480000 -0.160000 0.160000,0.945000 -0.315000 0.315000,1.410000 -0.470000 0.470000,1.875000 -0.625000 0.625000,2.340000 -0.780000 0.780000,2.805000 -0.935000 0.935000,3.270000 -1.090000 1.090000,3.735000 -1.245000 1.245000,4.530000 -1.510000 1.510000,
0.015000 -0.005000 0.015000,0.360000 -0.120000 0.360000,0.705000 -0.235000 0.705000,1.050000 -0.350000 1.050000,1.395000 -0.465000 1.395000,1.740000 -0.580000 1.740000,2.085000 -0.695000 2.085000,2.430000 -0.810000 2.430000,2.775000 -0.925000 2.775000,3.450000 -1.150000 3.450000,
0.015000 -0.005000 0.025000,0.270000 -0.090000 0.450000,0.525000 -0.175000 0.875000,0.780000 -0.260000 1.300000,1.035000 -0.345000 1.725000,1.290000 -0.430000 2.150000,1.545000 -0.515000 2.575000,1.800000 -0.600000 3.000000,2.055000 -0.685000 3.425000,2.550000 -0.850000 4.250000,
0.015000 -0.005000 0.035000,0.225000 -0.075000 0.525000,0.435000 -0.145000 1.015000,0.645000 -0.215000 1.505000,0.855000 -0.285000 1.995000,1.065000 -0.355000 2.485000,1.275000 -0.425000 2.975000,1.485000 -0.495000 3.465000,1.695000 -0.565000 3.955000,1.965000 -0.655000 4.585000,
0.015000 0.005000 -0.035000,0.225000 0.075000 -0.525000,0.435000 0.145000 -1.015000,0.645000 0.215000 -1.505000,0.855000 0.285000 -1.995000,1.065000 0.355000 -2.485000,1.275000 0.425000 -2.975000,1.485000 0.495000 -3.465000,1.695000 0.565000 -3.955000,1.965000 0.655000 -4.585000,
0.015000 0.005000 -0.025000,0.270000 0.090000 -0.450000,0.525000 0.175000 -0.875000,0.780000 0.260000 -1.300000,1.035000 0.345000 -1.725000,1.290000 0.430000 -2.150000,1.545000 0.515000 -2.575000,1.800000 0.600000 -3.000000,2.055000 0.685000 -3.425000,2.550000 0.850000 -4.250000,
0.015000 0.005000 -0.015000,0.360000 0.120000 -0.360000,0.705000 0.235000 -0.705000,1.050000 0.350000 -1.050000,1.395000 0.465000 -1.395000,1.740000 0.580000 -1.740000,2.085000 0.695000 -2.085000,2.430000 0.810000 -2.430000,2.775000 0.925000 -2.775000,3.450000 1.150000 -3.450000,
0.015000 0.005000 -0.005000,0.480000 0.160000 -0.160000,0.945000 0.315000 -0.315000,1.410000 0.470000 -0.470000,1.875000 0.625000 -0.625000,2.340000 0.780000 -0.780000,2.805000 0.935000 -0.935000,3.270000 1.090000 -1.090000,3.735000 1.245000 -1.245000,4.530000 1.510000 -1.510000,
0.015000 0.005000 0.005000,0.480000 0.160000 0.160000,0.945000 0.315000 0.315000,1.410000 0.470000 0.470000,1.875000 0.625000 0.625000,2.340000 0.780000 0.780000,2.805000 0.935000 0.935000,3.270000 1.090000 1.090000,3.735000 1.245000 1.245000,4.530000 1.510000 1.510000,
0.015000 0.005000 0.015000,0.360000 0.120000 0.360000,0.705000 0.235000 0.705000,1.050000 0.350000 1.050000,1.395000 0.465000 1.395000,1.740000 0.580000 1.740000,2.085000 0.695000 2.085000,2.430000 0.810000 2.430000,2.775000 0.925000 2.775000,3.450000 1.150000 3.450000,
0.015000 0.005000 0.025000,0.270000 0.090000 0.450000,0.525000 0.175000 0.875000,0.780000 0.260000 1.300000,1.035000 0.345000 1.725000,1.290000 0.430000 2.150000,1.545000 0.515000 2.575000,1.800000 0.600000 3.000000,2.055000 0.685000 3.425000,2.550000 0.850000 4.250000,
0.015000 0.005000 0.035000,0.225000 0.075000 0.525000,0.435000 0.145000 1.015000,0.645000 0.215000 1.505000,0.855000 0.285000 1.995000,1.065000 0.355000 2.485000,1.275000 0.425000 2.975000,1.485000 0.495000 3.465000,1.695000 0.565000 3.955000,1.965000 0.655000 4.585000,
0.025000 -0.015000 -0.035000,0.300000 -0.180000 -0.420000,0.575000 -0.345000 -0.805000,0.850000 -0.510000 -1.190000,1.125000 -0.675000 -1.575000,1.400000 -0.840000 -1.960000,1.675000 -1.005000 -2.345000,1.950000 -1.170000 -2.730000,2.225000 -1.335000 -3.115000,2.750000 -1.650000 -3.850000,
0.025000 -0.015000 -0.025000,0.375000 -0.225000 -0.375000,0.725000 -0.435000 -0.725000,1.075000 -0.645000 -1.075000,1.425000 -0.855000 -1.425000,1.775000 -1.065000 -1.775000,2.125000 -1.275000 -2.125000,2.475000 -1.485000 -2.475000,2.825000 -1.695000 -2.825000,3.275000 -1.965000 -3.275000,
0.025000 -0.015000 -0.015000,0.425000 -0.255000 -0.255000,0.825000 -0.495000 -0.495000,1.225000 -0.735000 -0.735000,1.625000 -0.975000 -0.975000,2.025000 -1.215000 -1.215000,2.425000 -1.455000 -1.455000,2.825000 -1.695000 -1.695000,3.225000 -1.935000 -1.935000,3.825000 -2.295000 -2.295000,
0.025000 -0.015000 -0.005000,0.450000 -0.270000 -0.090000,0.875000 -0.525000 -0.175000,1.300000 -0.780000 -0.260000,1.725000 -1.035000 -0.345000,2.150000 -1.290000 -0.430000,2.575000 -1.545000 -0.515000,3.000000 -1.800000 -0.600000,3.425000 -2.055000 -0.685000,4.250000 -2.550000 -0.850000,
0.025000 -0.015000 0.005000,0.450000 -0.270000 0.090000,0.875000 -0.525000 0.175000,1.300000 -0.780000 0.260000,1.725000 -1.035000 0.345000,2.150000 -1.290000 0.430000,2.575000 -1.545000 0.515000,3.000000 -1.800000 0.600000,3.425000 -2.055000 0.685000,4.250000 -2.550000 0.850000,
