0.000000 0.000000 0.000000,0.000000 0.000000 0.000000,0.000000 0.000000 0.000000,0.000000 0.000000 0.000000,0.000000 0.000000 0.000000,
0.012500 0.000000 -0.050000,0.137500 0.000000 -0.550000,0.262500 0.000000 -1.050000,0.387500 0.000000 -1.550000,0.512500 0.000000 -2.050000,0.637500 0.000000 -2.550000,0.762500 0.000000 -3.050000,0.887500 0.000000 -3.550000,1.012500 0.000000 -4.050000,1.225000 0.000000 -4.900000,
0.012500 0.000000 -0.037500,0.175000 0.000000 -0.525000,0.337500 0.000000 -1.012500,0.500000 0.000000 -1.500000,0.662500 0.000000 -1.987500,0.825000 0.000000 -2.475000,0.987500 0.000000 -2.962500,1.150000 0.000000 -3.450000,1.312500 0.000000 -3.937500,1.587500 0.000000 -4.762500,
0.012500 0.000000 -0.025000,0.237500 0.000000 -0.475000,0.462500 0.000000 -0.925000,0.687500 0.000000 -1.375000,0.912500 0.000000 -1.825000,1.137500 0.000000 -2.275000,1.362500 0.000000 -2.725000,1.587500 0.000000 -3.175000,1.812500 0.000000 -3.625000,2.237500 0.000000 -4.475000,
0.012500 0.000000 -0.012500,0.375000 0.000000 -0.375000,0.737500 0.000000 -0.737500,1.100000 0.000000 -1.100000,1.462500 0.000000 -1.462500,1.825000 0.000000 -1.825000,2.187500 0.000000 -2.187500,2.550000 0.000000 -2.550000,2.912500 0.000000 -2.912500,3.537500 0.000000 -3.537500,
0.012500 0.000000 0.000000,0.512500 0.000000 0.000000,1.012500 0.000000 0.000000,1.512500 0.000000 0.000000,2.012500 0.000000 0.000000,2.512500 0.000000 0.000000,3.012500 0.000000 0.000000,3.512500 0.000000 0.000000,4.012500 0.000000 0.000000,5.000000 0.000000 0.000000,
0.012500 0.000000 0.012500,0.375000 0.000000 0.375000,0.737500 0.000000 0.737500,1.100000 0.000000 1.100000,1.462500 0.000000 1.462500,1.825000 0.000000 1.825000,2.187500 0.000000 2.187500,2.550000 0.000000 2.550000,2.912500 0.000000 2.912500,3.537500 0.000000 3.537500,
0.012500 0.000000 0.025000,0.237500 0.000000 0.475000,0.462500 0.000000 0.925000,0.687500 0.000000 1.375000,0.912500 0.000000 1.825000,1.137500 0.000000 2.275000,1.362500 0.000000 2.725000,1.587500 0.000000 3.175000,1.812500 0.000000 3.625000,2.237500 0.000000 4.475000,
0.012500 0.000000 0.037500,0.175000 0.000000 0.525000,0.337500 0.000000 1.012500,0.500000 0.000000 1.500000,0.662500 0.000000 1.987500,0.825000 0.000000 2.475000,0.987500 0.000000 2.962500,1.150000 0.000000 3.450000,1.312500 0.000000 3.937500,1.587500 0.000000 4.762500,
0.012500 0.000000 0.050000,0.137500 0.000000 0.550000,0.262500 0.000000 1.050000,0.387500 0.000000 1.550000,0.512500 0.000000 2.050000,0.637500 0.000000 2.550000,0.762500 0.000000 3.050000,0.887500 0.000000 3.550000,1.012500 0.000000 4.050000,1.225000 0.000000 4.900000,
0.025000 -0.012500 -0.050000,0.250000 -0.125000 -0.500000,0.475000 -0.237500 -0.950000,0.700000 -0.350000 -1.400000,0.925000 -0.462500 -1.850000,1.150000 -0.575000 -2.300000,1.375000 -0.687500 -2.750000,1.600000 -0.800000 -3.200000,1.825000 -0.912500 -3.650000,2.200000 -1.100000 -4.400000,
0.025000 -0.012500 -0.037500,0.300000 -0.150000 -0.450000,0.575000 -0.287500 -0.862500,0.850000 -0.425000 -1.275000,1.125000 -0.562500 -1.687500,1.400000 -0.700000 -2.100000,1.675000 -0.837500 -2.512500,1.950000 -0.975000 -2.925000,2.225000 -1.112500 -3.337500,2.675000 -1.337500 -4.012500,
0.025000 -0.012500 -0.025000,0.375000 -0.187500 -0.375000,0.725000 -0.362500 -0.725000,1.075000 -0.537500 -1.075000,1.425000 -0.712500 -1.425000,1.775000 -0.887500 -1.775000,2.125000 -1.062500 -2.125000,2.475000 -1.237500 -2.475000,2.825000 -1.412500 -2.825000,3.350000 -1.675000 -3.350000,
0.025000 -0.012500 -0.012500,0.450000 -0.225000 -0.225000,0.875000 -0.437500 -0.437500,1.300000 -0.650000 -0.650000,1.725000 -0.862500 -0.862500,2.150000 -1.075000 -1.075000,2.575000 -1.287500 -1.287500,3.000000 -1.500000 -1.500000,3.425000 -1.712500 -1.712500,4.100000 -2.050000 -2.050000,
0.025000 -0.012500 0.000000,0.475000 -0.237500 0.000000,0.925000 -0.462500 0.000000,1.375000 -0.687500 0.000000,1.825000 -0.912500 0.000000,2.275000 -1.137500 0.000000,2.725000 -1.362500 0.000000,3.175000 -1.587500 0.000000,3.625000 -1.812500 0.000000,4.475000 -2.237500 0.000000,
0.025000 -0.012500 0.012500,0.450000 -0.225000 0.225000,0.875000 -0.437500 0.437500,1.300000 -0.650000 0.650000,1.725000 -0.862500 0.862500,2.150000 -1.075000 1.075000,2.575000 -1.287500 1.287500,3.000000 -1.500000 1.500000,3.425000 -1.712500 1.712500,4.100000 -2.050000 2.050000,
0.025000 -0.012500 0.025000,0.375000 -0.187500 0.375000,0.725000 -0.362500 0.725000,1.075000 -0.537500 1.075000,1.425000 -0.712500 1.425000,1.775000 -0.887500 1.775000,2.125000 -1.062500 2.125000,2.475000 -1.237500 2.475000,2.825000 -1.412500 2.825000,3.350000 -1.675000 3.350000,
