0.000000 -0.050000 0.000000,0.000000 -0.600000 0.000000,0.000000 -1.150000 0.000000,0.000000 -1.700000 0.000000,0.000000 -2.250000 0.000000,0.000000 -2.800000 0.000000,0.000000 -3.350000 0.000000,0.000000 -3.900000 0.000000,0.000000 -4.450000 0.000000,0.000000 -5.050000 0.000000,
0.000000 -0.037500 0.000000,0.000000 -0.562500 0.000000,0.000000 -1.087500 0.000000,0.000000 -1.612500 0.000000,0.000000 -2.137500 0.000000,0.000000 -2.662500 0.000000,0.000000 -3.187500 0.000000,0.000000 -3.712500 0.000000,0.000000 -4.237500 0.000000,0.000000 -5.025000 0.000000,
0.000000 -0.025000 0.000000,0.000000 -0.525000 0.000000,0.000000 -1.025000 0.000000,0.000000 -1.525000 0.000000,0.000000 -2.025000 0.000000,0.000000 -2.525000 0.000000,0.000000 -3.025000 0.000000,0.000000 -3.525000 0.000000,0.000000 -4.025000 0.000000,0.000000 -5.000000 0.000000,
0.000000 -0.012500 0.000000,0.000000 -0.512500 0.000000,0.000000 -1.012500 0.000000,0.000000 -1.512500 0.000000,0.000000 -2.012500 0.000000,0.000000 -2.512500 0.000000,0.000000 -3.012500 0.000000,0.000000 -3.512500 0.000000,0.000000 -4.012500 0.000000,0.000000 -5.000000 0.000000,
0.000000 0.012500 0.000000,0.000000 0.512500 0.000000,0.000000 1.012500 0.000000,0.000000 1.512500 0.000000,0.000000 2.012500 0.000000,0.000000 2.512500 0.000000,0.000000 3.012500 0.000000,0.000000 3.512500 0.000000,0.000000 4.012500 0.000000,0.000000 5.000000 0.000000,
0.000000 0.025000 0.000000,0.000000 0.525000 0.000000,0.000000 1.025000 0.000000,0.000000 1.525000 0.000000,0.000000 2.025000 0.000000,0.000000 2.525000 0.000000,0.000000 3.025000 0.000000,0.000000 3.525000 0.000000,0.000000 4.025000 0.000000,0.000000 5.000000 0.000000,
0.000000 0.037500 0.000000,0.000000 0.562500 0.000000,0.000000 1.087500 0.000000,0.000000 1.612500 0.000000,0.000000 2.137500 0.000000,0.000000 2.662500 0.000000,0.000000 3.187500 0.000000,0.000000 3.712500 0.000000,0.000000 4.237500 0.000000,0.000000 5.025000 0.000000,
0.000000 0.050000 0.000000,0.000000 0.600000 0.000000,0.000000 1.150000 0.000000,0.000000 1.700000 0.000000,0.000000 2.250000 0.000000,0.000000 2.800000 0.000000,0.000000 3.350000 0.000000,0.000000 3.900000 0.000000,0.000000 4.450000 0.000000,0.000000 5.050000 0.000000,
0.012500 -0.050000 0.000000,0.137500 -0.550000 0.000000,0.262500 -1.050000 0.000000,0.387500 -1.550000 0.000000,0.512500 -2.050000 0.000000,0.637500 -2.550000 0.000000,0.762500 -3.050000 0.000000,0.887500 -3.550000 0.000000,1.012500 -4.050000 0.000000,1.225000 -4.900000 0.000000,
0.012500 -0.037500 0.000000,0.175000 -0.525000 0.000000,0.337500 -1.012500 0.000000,0.500000 -1.500000 0.000000,0.662500 -1.987500 0.000000,0.825000 -2.475000 0.000000,0.987500 -2.962500 0.000000,1.150000 -3.450000 0.000000,1.312500 -3.937500 0.000000,1.587500 -4.762500 0.000000,
0.012500 -0.025000 0.000000,0.237500 -0.475000 0.000000,0.462500 -0.925000 0.000000,0.687500 -1.375000 0.000000,0.912500 -1.825000 0.000000,1.137500 -2.275000 0.000000,1.362500 -2.725000 0.000000,1.587500 -3.175000 0.000000,1.812500 -3.625000 0.000000,2.237500 -4.475000 0.000000,
