0.000000 0.000000 0.000000,0.000000 0.000000 0.000000,0.000000 0.000000 0.000000,0.000000 0.000000 0.000000,0.000000 0.000000 0.000000,
0.012500 0.000000 0.000000,3.762500 0.000000 0.000000,7.512500 0.000000 0.000000,
0.025000 -0.012500 -0.012500,4.125000 -2.062500 -2.062500,8.225000 -4.112500 -4.112500,
0.025000 -0.012500 0.000000,4.500000 -2.250000 0.000000,8.975000 -4.487500 0.000000,
0.025000 -0.012500 0.012500,4.125000 -2.062500 2.062500,8.225000 -4.112500 4.112500,
0.025000 0.000000 -0.012500,4.500000 0.000000 -2.250000,8.975000 0.000000 -4.487500,
0.025000 0.000000 0.000000,5.050000 0.000000 0.000000,
0.025000 0.000000 0.012500,4.500000 0.000000 2.250000,8.975000 0.000000 4.487500,
0.025000 0.012500 -0.012500,4.125000 2.062500 -2.062500,8.225000 4.112500 -4.112500,
0.025000 0.012500 0.000000,4.500000 2.250000 0.000000,8.975000 4.487500 0.000000,
0.025000 0.012500 0.012500,4.125000 2.062500 2.062500,8.225000 4.112500 4.112500,
0.037500 -0.025000 -0.025000,3.712500 -2.475000 -2.475000,7.387500 -4.925000 -4.925000,
0.037500 -0.025000 -0.012500,4.050000 -2.700000 -1.350000,8.062500 -5.375000 -2.687500,
0.037500 -0.025000 0.000000,4.200000 -2.800000 0.000000,8.362500 -5.575000 0.000000,
0.037500 -0.025000 0.012500,4.050000 -2.700000 1.350000,8.062500 -5.375000 2.687500,
0.037500 -0.025000 0.025000,3.712500 -2.475000 2.475000,7.387500 -4.925000 4.925000,
0.037500 -0.012500 -0.025000,4.050000 -1.350000 -2.700000,8.062500 -2.687500 -5.375000,
0.037500 -0.012500 -0.012500,4.575000 -1.525000 -1.525000,9.112500 -3.037500 -3.037500,
0.037500 -0.012500 0.000000,4.800000 -1.600000 0.000000,9.562500 -3.187500 0.000000,
0.037500 -0.012500 0.012500,4.575000 -1.525000 1.525000,9.112500 -3.037500 3.037500,
0.037500 -0.012500 0.025000,4.050000 -1.350000 2.700000,8.062500 -2.687500 5.375000,
0.037500 0.000000 -0.025000,4.200000 0.000000 -2.800000,8.362500 0.000000 -5.575000,
0.037500 0.000000 -0.012500,4.800000 0.000000 -1.600000,9.562500 0.000000 -3.187500,
0.037500 0.000000 0.000000,5.062500 0.000000 0.000000,
0.037500 0.000000 0.012500,4.800000 0.000000 1.600000,9.562500 0.000000 3.187500,
0.037500 0.000000 0.025000,4.200000 0.000000 2.800000,8.362500 0.000000 5.575000,
0.037500 0.012500 -0.025000,4.050000 1.350000 -2.700000,8.062500 2.687500 -5.375000,
0.037500 0.012500 -0.012500,4.575000 1.525000 -1.525000,9.112500 3.037500 -3.037500,
0.037500 0.012500 0.000000,4.800000 1.600000 0.000000,9.562500 3.187500 0.000000,
0.037500 0.012500 0.012500,4.575000 1.525000 1.525000,9.112500 3.037500 3.037500,
0.037500 0.012500 0.025000,4.050000 1.350000 2.700000,8.062500 2.687500 5.375000,
0.037500 0.025000 -0.025000,3.712500 2.475000 -2.475000,7.387500 4.925000 -4.925000,
0.037500 0.025000 -0.012500,4.050000 2.700000 -1.350000,8.062500 5.375000 -2.687500,
0.037500 0.025000 0.000000,4.200000 2.800000 0.000000,8.362500 5.575000 0.000000,
0.037500 0.025000 0.012500,4.050000 2.700000 1.350000,8.062500 5.375000 2.687500,
0.037500 0.025000 0.025000,3.712500 2.475000 2.475000,7.387500 4.925000 4.925000,
0.050000 -0.025000 -0.025000,4.150000 -2.075000 -2.075000,8.250000 -4.125000 -4.125000,
0.050000 -0.025000 -0.012500,4.450000 -2.225000 -1.112500,8.850000 -4.425000 -2.212500,
0.050000 -0.025000 0.000000,4.550000 -2.275000 0.000000,9.050000 -4.525000 0.000000,
0.050000 -0.025000 0.012500,4.450000 -2.225000 1.112500,8.850000 -4.425000 2.212500,
0.050000 -0.025000 0.025000,4.150000 -2.075000 2.075000,8.250000 -4.125000 4.125000,
0.050000 -0.012500 -0.025000,4.450000 -1.112500 -2.225000,8.850000 -2.212500 -4.425000,
0.050000 -0.012500 -0.012500,4.800000 -1.200000 -1.200000,9.550000 -2.387500 -2.387500,
0.050000 -0.012500 0.000000,4.950000 -1.237500 0.000000,9.850000 -2.462500 0.000000,
0.050000 -0.012500 0.012500,4.800000 -1.200000 1.200000,9.550000 -2.387500 2.387500,
0.050000 -0.012500 0.025000,4.450000 -1.112500 2.225000,8.850000 -2.212500 4.425000,
0.050000 0.000000 -0.025000,4.550000 0.000000 -2.275000,9.050000 0.000000 -4.525000,
0.050000 0.000000 -0.012500,4.950000 0.000000 -1.237500,9.850000 0.000000 -2.462500,
0.050000 0.000000 0.000000,5.100000 0.000000 0.000000,
0.050000 0.000000 0.012500,4.950000 0.000000 1.237500,9.850000 0.000000 2.462500,
0.050000 0.000000 0.025000,4.550000 0.000000 2.275000,9.050000 0.000000 4.525000,
0.050000 0.012500 -0.025000,4.450000 1.112500 -2.225000,8.850000 2.212500 -4.425000,
0.050000 0.012500 -0.012500,4.800000 1.200000 -1.200000,9.550000 2.387500 -2.387500,
0.050000 0.012500 0.000000,4.950000 1.237500 0.000000,9.850000 2.462500 0.000000,
0.050000 0.012500 0.012500,4.800000 1.200000 1.200000,9.550000 2.387500 2.387500,
0.050000 0.012500 0.025000,4.450000 1.112500 2.225000,8.850000 2.212500 4.425000,
0.050000 0.025000 -0.025000,4.150000 2.075000 -2.075000,8.250000 4.125000 -4.125000,
0.050000 0.025000 -0.012500,4.450000 2.225000 -1.112500,8.850000 4.425000 -2.212500,
0.050000 0.025000 0.000000,4.550000 2.275000 0.000000,9.050000 4.525000 0.000000,
0.050000 0.025000 0.012500,4.450000 2.225000 1.112500,8.850000 4.425000 2.212500,
0.050000 0.025000 0.025000,4.150000 2.075000 2.075000,8.250000 4.125000 4.125000,
