0.012500 0.000000 0.000000,2.012500 0.000000 0.000000,4.012500 0.000000 0.000000,6.012500 0.000000 0.000000,8.012500 0.000000 0.000000,
0.025000 -0.012500 -0.012500,1.675000 -0.837500 -0.837500,3.325000 -1.662500 -1.662500,4.975000 -2.487500 -2.487500,6.625000 -3.312500 -3.312500,8.275000 -4.137500 -4.137500,9.925000 -4.962500 -4.962500,
0.025000 -0.012500 0.000000,1.825000 -0.912500 0.000000,3.625000 -1.812500 0.000000,5.425000 -2.712500 0.000000,7.225000 -3.612500 0.000000,9.025000 -4.512500 0.000000,
0.025000 -0.012500 0.012500,1.675000 -0.837500 0.837500,3.325000 -1.662500 1.662500,4.975000 -2.487500 2.487500,6.625000 -3.312500 3.312500,8.275000 -4.137500 4.137500,9.925000 -4.962500 4.962500,
0.025000 0.000000 -0.012500,1.825000 0.000000 -0.912500,3.625000 0.000000 -1.812500,5.425000 0.000000 -2.712500,7.225000 0.000000 -3.612500,9.025000 0.000000 -4.512500,
0.025000 0.000000 0.000000,2.050000 0.000000 0.000000,4.075000 0.000000 0.000000,6.100000 0.000000 0.000000,8.125000 0.000000 0.000000,
0.025000 0.000000 0.012500,1.825000 0.000000 0.912500,3.625000 0.000000 1.812500,5.425000 0.000000 2.712500,7.225000 0.000000 3.612500,9.025000 0.000000 4.512500,
0.025000 0.012500 -0.012500,1.675000 0.837500 -0.837500,3.325000 1.662500 -1.662500,4.975000 2.487500 -2.487500,6.625000 3.312500 -3.312500,8.275000 4.137500 -4.137500,9.925000 4.962500 -4.962500,
0.025000 0.012500 0.000000,1.825000 0.912500 0.000000,3.625000 1.812500 0.000000,5.425000 2.712500 0.000000,7.225000 3.612500 0.000000,9.025000 4.512500 0.000000,
0.025000 0.012500 0.012500,1.675000 0.837500 0.837500,3.325000 1.662500 1.662500,4.975000 2.487500 2.487500,6.625000 3.312500 3.312500,8.275000 4.137500 4.137500,9.925000 4.962500 4.962500,
0.037500 -0.025000 -0.025000,1.500000 -1.000000 -1.000000,2.962500 -1.975000 -1.975000,4.425000 -2.950000 -2.950000,5.887500 -3.925000 -3.925000,7.350000 -4.900000 -4.900000,8.812500 -5.875000 -5.875000,
0.037500 -0.025000 -0.012500,1.650000 -1.100000 -0.550000,3.262500 -2.175000 -1.087500,4.875000 -3.250000 -1.625000,6.487500 -4.325000 -2.162500,8.100000 -5.400000 -2.700000,9.712500 -6.475000 -3.237500,
0.037500 -0.025000 0.000000,1.725000 -1.150000 0.000000,3.412500 -2.275000 0.000000,5.100000 -3.400000 0.000000,6.787500 -4.525000 0.000000,8.475000 -5.650000 0.000000,
0.037500 -0.025000 0.012500,1.650000 -1.100000 0.550000,3.262500 -2.175000 1.087500,4.875000 -3.250000 1.625000,6.487500 -4.325000 2.162500,8.100000 -5.400000 2.700000,9.712500 -6.475000 3.237500,
0.037500 -0.025000 0.025000,1.500000 -1.000000 1.000000,2.962500 -1.975000 1.975000,4.425000 -2.950000 2.950000,5.887500 -3.925000 3.925000,7.350000 -4.900000 4.900000,8.812500 -5.875000 5.875000,
0.037500 -0.012500 -0.025000,1.650000 -0.550000 -1.100000,3.262500 -1.087500 -2.175000,4.875000 -1.625000 -3.250000,6.487500 -2.162500 -4.325000,8.100000 -2.700000 -5.400000,9.712500 -3.237500 -6.475000,
