0.007500 0.000000 0.000000,0.262500 0.000000 0.000000,0.517500 0.000000 0.000000,0.772500 0.000000 0.000000,1.027500 0.000000 0.000000,1.282500 0.000000 0.000000,1.537500 0.000000 0.000000,1.792500 0.000000 0.000000,2.047500 0.000000 0.000000,2.505000 0.000000 0.000000,
0.015000 -0.007500 -0.007500,0.525000 -0.262500 -0.262500,1.035000 -0.517500 -0.517500,1.545000 -0.772500 -0.772500,2.055000 -1.027500 -1.027500,2.565000 -1.282500 -1.282500,3.075000 -1.537500 -1.537500,3.585000 -1.792500 -1.792500,4.095000 -2.047500 -2.047500,5.010000 -2.505000 -2.505000,
0.015000 -0.007500 0.000000,0.525000 -0.262500 0.000000,1.035000 -0.517500 0.000000,1.545000 -0.772500 0.000000,2.055000 -1.027500 0.000000,2.565000 -1.282500 0.000000,3.075000 -1.537500 0.000000,3.585000 -1.792500 0.000000,4.095000 -2.047500 0.000000,5.010000 -2.505000 0.000000,
0.015000 -0.007500 0.007500,0.525000 -0.262500 0.262500,1.035000 -0.517500 0.517500,1.545000 -0.772500 0.772500,2.055000 -1.027500 1.027500,2.565000 -1.282500 1.282500,3.075000 -1.537500 1.537500,3.585000 -1.792500 1.792500,4.095000 -2.047500 2.047500,5.010000 -2.505000 2.505000,
0.015000 0.000000 -0.007500,0.525000 0.000000 -0.262500,1.035000 0.000000 -0.517500,1.545000 0.000000 -0.772500,2.055000 0.000000 -1.027500,2.565000 0.000000 -1.282500,3.075000 0.000000 -1.537500,3.585000 0.000000 -1.792500,4.095000 0.000000 -2.047500,5.010000 0.000000 -2.505000,
0.015000 0.000000 0.000000,0.525000 0.000000 0.000000,1.035000 0.000000 0.000000,1.545000 0.000000 0.000000,2.055000 0.000000 0.000000,2.565000 0.000000 0.000000,3.075000 0.000000 0.000000,3.585000 0.000000 0.000000,4.095000 0.000000 0.000000,5.010000 0.000000 0.000000,
0.015000 0.000000 0.007500,0.525000 0.000000 0.262500,1.035000 0.000000 0.517500,1.545000 0.000000 0.772500,2.055000 0.000000 1.027500,2.565000 0.000000 1.282500,3.075000 0.000000 1.537500,3.585000 0.000000 1.792500,4.095000 0.000000 2.047500,5.010000 0.000000 2.505000,
0.015000 0.007500 -0.007500,0.525000 0.262500 -0.262500,1.035000 0.517500 -0.517500,1.545000 0.772500 -0.772500,2.055000 1.027500 -1.027500,2.565000 1.282500 -1.282500,3.075000 1.537500 -1.537500,3.585000 1.792500 -1.792500,4.095000 2.047500 -2.047500,5.010000 2.505000 -2.505000,
0.015000 0.007500 0.000000,0.525000 0.262500 0.000000,1.035000 0.517500 0.000000,1.545000 0.772500 0.000000,2.055000 1.027500 0.000000,2.565000 1.282500 0.000000,3.075000 1.537500 0.000000,3.585000 1.792500 0.000000,4.095000 2.047500 0.000000,5.010000 2.505000 0.000000,
0.015000 0.007500 0.007500,0.525000 0.262500 0.262500,1.035000 0.517500 0.517500,1.545000 0.772500 0.772500,2.055000 1.027500 1.027500,2.565000 1.282500 1.282500,3.075000 1.537500 1.537500,3.585000 1.792500 1.792500,4.095000 2.047500 2.047500,5.010000 2.505000 2.505000,
0.022500 -0.015000 -0.015000,0.765000 -0.510000 -0.510000,1.507500 -1.005000 -1.005000,2.250000 -1.500000 -1.500000,2.992500 -1.995000 -1.995000,3.735000 -2.490000 -2.490000,4.477500 -2.985000 -2.985000,5.220000 -3.480000 -3.480000,5.962500 -3.975000 -3.975000,7.290000 -4.860000 -4.860000,
