0.001786 -0.000000 -0.000000,0.146429 -0.000000 -0.000000,0.291071 -0.000000 -0.000000,0.435714 -0.000000 -0.000000,0.580357 -0.000000 -0.000000,0.725000 -0.000000 -0.000000,0.869643 -0.000000 -0.000000,1.014286 -0.000000 -0.000000,1.158929 -0.000000 -0.000000,1.303571 -0.000000 -0.000000,1.448214 -0.000000 -0.000000,1.592857 -0.000000 -0.000000,1.737500 -0.000000 -0.000000,1.882143 -0.000000 -0.000000,2.144643 -0.000000 -0.000000,
0.003571 -0.001786 -0.001786,0.292857 -0.146429 -0.146429,0.582143 -0.291071 -0.291071,0.871429 -0.435714 -0.435714,1.160714 -0.580357 -0.580357,1.450000 -0.725000 -0.725000,1.739286 -0.869643 -0.869643,2.028571 -1.014286 -1.014286,2.317857 -1.158929 -1.158929,2.607143 -1.303571 -1.303571,2.896429 -1.448214 -1.448214,3.185714 -1.592857 -1.592857,3.475000 -1.737500 -1.737500,3.764286 -1.882143 -1.882143,4.289286 -2.144643 -2.144643,
0.003571 -0.001786 -0.000000,0.292857 -0.146429 -0.000000,0.582143 -0.291071 -0.000000,0.871429 -0.435714 -0.000000,1.160714 -0.580357 -0.000000,1.450000 -0.725000 -0.000000,1.739286 -0.869643 -0.000000,2.028571 -1.014286 -0.000000,2.317857 -1.158929 -0.000000,2.607143 -1.303571 -0.000000,2.896429 -1.448214 -0.000000,3.185714 -1.592857 -0.000000,3.475000 -1.737500 -0.000000,3.764286 -1.882143 -0.000000,4.289286 -2.144643 -0.000000,
0.003571 -0.001786 0.001786,0.292857 -0.146429 0.146429,0.582143 -0.291071 0.291071,0.871429 -0.435714 0.435714,1.160714 -0.580357 0.580357,1.450000 -0.725000 0.725000,1.739286 -0.869643 0.869643,2.028571 -1.014286 1.014286,2.317857 -1.158929 1.158929,2.607143 -1.303571 1.303571,2.896429 -1.448214 1.448214,3.185714 -1.592857 1.592857,3.475000 -1.737500 1.737500,3.764286 -1.882143 1.882143,4.289286 -2.144643 2.144643,
0.003571 -0.000000 -0.001786,0.292857 -0.000000 -0.146429,0.582143 -0.000000 -0.291071,0.871429 -0.000000 -0.435714,1.160714 -0.000000 -0.580357,1.450000 -0.000000 -0.725000,1.739286 -0.000000 -0.869643,2.028571 -0.000000 -1.014286,2.317857 -0.000000 -1.158929,2.607143 -0.000000 -1.303571,2.896429 -0.000000 -1.448214,3.185714 -0.000000 -1.592857,3.475000 -0.000000 -1.737500,3.764286 -0.000000 -1.882143,4.289286 -0.000000 -2.144643,
0.003571 -0.000000 -0.000000,0.292857 -0.000000 -0.000000,0.582143 -0.000000 -0.000000,0.871429 -0.000000 -0.000000,1.160714 -0.000000 -0.000000,1.450000 -0.000000 -0.000000,1.739286 -0.000000 -0.000000,2.028571 -0.000000 -0.000000,2.317857 -0.000000 -0.000000,2.607143 -0.000000 -0.000000,2.896429 -0.000000 -0.000000,3.185714 -0.000000 -0.000000,3.475000 -0.000000 -0.000000,3.764286 -0.000000 -0.000000,4.289286 -0.000000 -0.000000,
0.003571 -0.000000 0.001786,0.292857 -0.000000 0.146429,0.582143 -0.000000 0.291071,0.871429 -0.000000 0.435714,1.160714 -0.000000 0.580357,1.450000 -0.000000 0.725000,1.739286 -0.000000 0.869643,2.028571 -0.000000 1.014286,2.317857 -0.000000 1.158929,2.607143 -0.000000 1.303571,2.896429 -0.000000 1.448214,3.185714 -0.000000 1.592857,3.475000 -0.000000 1.737500,3.764286 -0.000000 1.882143,4.289286 -0.000000 2.144643,
0.003571 0.001786 -0.001786,0.292857 0.146429 -0.146429,0.582143 0.291071 -0.291071,0.871429 0.435714 -0.435714,1.160714 0.580357 -0.580357,1.450000 0.725000 -0.725000,1.739286 0.869643 -0.869643,2.028571 1.014286 -1.014286,2.317857 1.158929 -1.158929,2.607143 1.303571 -1.303571,2.896429 1.448214 -1.448214,3.185714 1.592857 -1.592857,3.475000 1.737500 -1.737500,3.764286 1.882143 -1.882143,4.289286 2.144643 -2.144643,
0.003571 0.001786 -0.000000,0.292857 0.146429 -0.000000,0.582143 0.291071 -0.000000,0.871429 0.435714 -0.000000,1.160714 0.580357 -0.000000,1.450000 0.725000 -0.000000,1.739286 0.869643 -0.000000,2.028571 1.014286 -0.000000,2.317857 1.158929 -0.000000,2.607143 1.303571 -0.000000,2.896429 1.448214 -0.000000,3.185714 1.592857 -0.000000,3.475000 1.737500 -0.000000,3.764286 1.882143 -0.000000,4.289286 2.144643 -0.000000,
0.003571 0.001786 0.001786,0.292857 0.146429 0.146429,0.582143 0.291071 0.291071,0.871429 0.435714 0.435714,1.160714 0.580357 0.580357,1.450000 0.725000 0.725000,1.739286 0.869643 0.869643,2.028571 1.014286 1.014286,2.317857 1.158929 1.158929,2.607143 1.303571 1.303571,2.896429 1.448214 1.448214,3.185714 1.592857 1.592857,3.475000 1.737500 1.737500,3.764286 1.882143 1.882143,4.289286 2.144643 2.144643,
0.005357 -0.003571 -0.003571,0.439286 -0.292857 -0.292857,0.873214 -0.582143 -0.582143,1.307143 -0.871429 -0.871429,1.741071 -1.160714 -1.160714,2.175000 -1.450000 -1.450000,2.608929 -1.739286 -1.739286,3.042857 -2.028571 -2.028571,3.476786 -2.317857 -2.317857,3.910714 -2.607143 -2.607143,4.344643 -2.896429 -2.896429,4.778571 -3.185714 -3.185714,5.212500 -3.475000 -3.475000,5.646429 -3.764286 -3.764286,6.433929 -4.289286 -4.289286,
0.005357 -0.003571 -0.001786,0.439286 -0.292857 -0.146429,0.873214 -0.582143 -0.291071,1.307143 -0.871429 -0.435714,1.741071 -1.160714 -0.580357,2.175000 -1.450000 -0.725000,2.608929 -1.739286 -0.869643,3.042857 -2.028571 -1.014286,3.476786 -2.317857 -1.158929,3.910714 -2.607143 -1.303571,4.344643 -2.896429 -1.448214,4.778571 -3.185714 -1.592857,5.212500 -3.475000 -1.737500,5.646429 -3.764286 -1.882143,6.433929 -4.289286 -2.144643,
0.005357 -0.003571 -0.000000,0.439286 -0.292857 -0.000000,0.873214 -0.582143 -0.000000,1.307143 -0.871429 -0.000000,1.741071 -1.160714 -0.000000,2.175000 -1.450000 -0.000000,2.608929 -1.739286 -0.000000,3.042857 -2.028571 -0.000000,3.476786 -2.317857 -0.000000,3.910714 -2.607143 -0.000000,4.344643 -2.896429 -0.000000,4.778571 -3.185714 -0.000000,5.212500 -3.475000 -0.000000,5.646429 -3.764286 -0.000000,6.433929 -4.289286 -0.000000,
